자치구,범죄건수,범죄율,범죄건수_살인,범죄율_살인,범죄건수_강도,범죄율_강도,범죄건수_강간,범죄율_강간,범죄건수_절도,범죄율_절도,범죄건수_폭행,범죄율_폭행
강남구,597.12,8.6,0.5,0.1,0.9,0.2,39.9,6.7,154.8,25.9,308.4,51.6
강동구,266.67,3.84,1.1,0.4,0.1,0.0,11.1,4.2,114.7,43.0,139.4,52.3
강북구,237.36,3.42,-0.5,-0.2,-0.3,-0.1,14.9,6.3,64.4,27.1,128.7,54.2
강서구,318.52,4.59,-0.1,-0.0,-1.6,-0.5,22.5,7.1,153.9,48.3,142.4,44.7
관악구,233.97,3.37,2.4,1.0,0.8,0.3,15.3,6.5,151.0,64.5,66.1,28.3
광진구,291.82,4.2,1.4,0.5,0.3,0.1,6.8,2.3,156.5,53.6,139.0,47.6
구로구,234.76,3.38,2.8,1.2,-0.2,-0.1,8.2,3.5,108.4,46.2,106.4,45.3
금천구,171.21,2.47,0.3,0.2,0.5,0.3,5.9,3.4,95.1,55.5,80.2,46.8
노원구,246.17,3.55,0.4,0.2,-0.0,-0.0,12.3,5.0,161.2,65.5,72.2,29.3
도봉구,327.89,4.72,0.0,0.0,1.9,0.6,16.7,5.1,143.8,43.9,165.5,50.5
동대문구,104.36,1.5,-0.3,-0.3,-0.3,-0.3,0.9,0.9,49.1,47.0,54.5,52.2
동작구,220.74,3.18,0.2,0.1,0.1,0.0,5.7,2.6,122.3,55.4,92.1,41.7
마포구,221.35,3.19,0.5,0.2,1.0,0.5,11.0,5.0,121.1,54.7,87.8,39.7
서대문구,469.62,6.77,-0.3,-0.1,0.2,0.0,41.7,8.9,132.9,28.3,179.8,38.3
서초구,195.97,2.82,0.9,0.5,0.1,0.1,8.3,4.2,104.4,53.3,83.6,42.7
성동구,382.74,5.51,-0.9,-0.2,0.1,0.0,30.0,7.8,176.9,46.2,176.3,46.1
성북구,206.97,2.98,0.8,0.4,0.6,0.3,10.9,5.3,91.1,44.0,103.2,49.9
송파구,455.74,6.57,0.2,0.0,0.3,0.1,16.8,3.7,173.0,38.0,199.6,43.8
양천구,250.08,3.6,-0.3,-0.1,-0.1,-0.0,10.5,4.2,72.6,29.0,166.5,66.6
영등포구,345.07,4.97,1.1,0.3,-0.0,-0.0,16.4,4.8,142.5,41.3,153.4,44.5
용산구,326.33,4.7,-0.0,-0.0,0.7,0.2,27.9,8.5,98.8,30.3,181.6,55.6
은평구,250.47,3.61,0.0,0.0,0.5,0.2,7.3,2.9,127.7,51.0,115.0,45.9
종로구,158.28,2.28,-0.8,-0.5,-0.4,-0.3,-8.5,-5.4,89.8,56.7,78.0,49.3
중구,268.58,3.87,-0.0,-0.0,1.6,0.6,7.1,2.6,91.7,34.1,137.2,51.1
중랑구,158.59,2.29,0.2,0.1,1.0,0.6,24.5,15.4,74.1,46.7,57.1,36.0
